Unnamed: 0,Toxin,Product,Toxicity
3,Oxybenzone,Camera Ready CC Cream Broad Spectrum SPF 30 Dark Spot Correcting,Low
4,Oxybenzone,Lingerie de Peau BB Cream,Low
5,Oxybenzone,Exfoliating Scrub,Low
6,Oxybenzone,Hydra Life BB Creme Broad Spectrum SPF 30,Low
7,Oxybenzone,The Broad Spectrum SPF 50 UV Protecting Fluid,Low
8,Oxybenzone,Ultimate Sun Protection Spray Broad Spectrum SPF 50+ For Face/Body,Low
9,Oxybenzone,Broad Spectrum SPF 50 Sunscreen Face Cream,Low
10,Oxybenzone,DayWear UV Base Advanced Anti-Oxidant & UV Defense SPF 50,Low
11,Oxybenzone,DayWear BB Anti-Oxidant Beauty Benefit Crème SPF 35,Low
12,Oxybenzone,Protect Ultra Sheer Weightless Sunscreen Broad Spectrum SPF 50+ UVA/UVB,Low
13,Oxybenzone,Sun Lotion 30 SPF,Low
15,Ethanolamine,Radiance Awakening Mask Intense,Low
19,Silane,Ultra Facial Cream,Low
20,Silane,The True Cream Moisturizing Bomb,Low
21,Silane,Water Bank Moisture Cream,Low
22,Silane,Dramatically Different Moisturizing Gel,Low
23,Silane,Revitalizing Supreme Global Anti-Aging Crème,Low
24,Silane,Renewed Hope in A Jar Refreshing & Refining Moisturizer,Low
25,Silane,Dramatically Different Hydrating Jelly,Low
26,Silane,Drink of H2O Hydrating Boost Moisturizer Rainforest of the Sea™,Low
27,Silane,Limited Edition Dramatically Different™ Moisturizing Gel,Low
28,Silane,Cooling Water,Low
29,Silane,DREAMDUO™ Overnight Transforming Treatment,Low
30,Silane,Essential Power Skin Toner for Normal to Dry Skin,Low
31,Silane,Bergamot Herbal Extract Toner,Low
32,Silane,A Glowing Regimen Trial Set,Low
33,Silane,FRXXXTION Stick Exfoliating Cleanser,Low
34,Silane,Fresh Pressed 7-day System with Pure Vitamin C,Low
35,Silane,Advanced Night Repair Synchronized Recovery Complex II,Low
36,Silane,The Treatment Lotion,Low
37,Silane,Skin Love Glow Elixir,Low
38,Silane,needles no more™,Low
39,Silane,Fresh Pressed Daily Booster with Pure Vitamin C 10%,Low
40,Silane,Watermelon Brightening Serum,Low
41,Silane,MOISTURE BOUND Rejuvenating Serum,Low
42,Silane,Repairwear Laser Focus,Low
43,Silane,needles no more® 3-D filler mask,Low
44,Silane,Perfectionist Pro Rapid Firm + Lift Treatment,Low
45,Silane,Future Solution LX Intensive Firming Contour Serum,Low
46,Silane,Advanced Night Repair Concentrated Recovery PowerFoil Mask,Low
47,Silane,The Brilliance Brightening Mask,Low
48,Silane,Nutritious Vitality8™ Night Creme/Mask,Low
49,Silane,Treatment Lotion Hydrating Mask,Low
50,Silane,Advanced Night Repair Concentrated Recovery Eye Mask,Low
51,Silane,Plantscription™ Powerful Lifting Overnight Mask,Low
52,Silane,Water Pocket Sheet Mask Sleeping Mask (Replenishing),Low
53,Silane,Flower Fusion™ Lavender Soothing Sheet Mask,Low
54,Silane,Flower Fusion™ Rose Hydrating Sheet Mask,Low
55,Silane,Flower Fusion™ Raspberry Refreshing Sheet Mask,Low
56,Silane,Flower Fusion™ Violet Nourishing Sheet Mask,Low
57,Silane,Flower Fusion™ Orange Radiance-Boosting Sheet Mask,Low
58,Silane,Advanced Night Repair Eye Concentrate Matrix,Low
59,Silane,Advanced Night Repair Eye Serum Synchronized Complex II,Low
60,Silane,Eye Doctor™ Moisture Care For Skin Around Eyes,Low
61,Silane,Intensive Vitalizing Eye Essence,Low
62,Silane,Goat Milk De-Puffing Eye Balm,Low
63,Silane,Super-Cool De-Puffing Eye Balm,Low
64,Silane,Renewed Hope In A Jar Eye,Low
65,Silane,FIRMx™ 360 Eye Renewal,Low
66,Silane,Time In A Bottle For Eyes 100% In-Control,Low
67,Silane,Renewed Hope In A Jar SPF 30,Low
69,Silane,Essential-C Eye Cream SPF 15 PA++,Low
70,Silane,Do Not Age with Dr. Brandt Triple Peptide Eye Cream,Low
71,Silane,ELEVATE Firming & Lifting Contouring Eye Cream,Low
2,Parfum,Benefiance WrinkleResist24 Night Cream,Moderate
3,Parfum,Goodnight Glow Retin-ALT Sleeping Crème,Moderate
4,Parfum,Beauty Elixir,Moderate
5,Parfum,The Silk Cream,Moderate
6,Parfum,Vinosource Moisturizing Sorbet,Moderate
7,Parfum,Luminous Dewy Skin Night Concentrate,Moderate
8,Parfum,Seaberry Moisturizing Face Oil,Moderate
9,Parfum,Renewed Hope in A Jar Refreshing & Refining Moisturizer,Moderate
10,Parfum,Cold Plasma Sub-D Firming Neck Treatment,Moderate
11,Parfum,Nurture Me™ Moisturizing Crème,Moderate
12,Parfum,Invigorating Night Transformation™ Gel,Moderate
13,Parfum,Wild Rose + Vitamin C Advanced Brightening Sleeping Facial,Moderate
14,Parfum,Evercalm™ Overnight Recovery Balm,Moderate
15,Parfum,Benefiance WrinkleResist24 Night Emulsion,Moderate
16,Parfum,Resveratrol Lift Night Infusion Cream,Moderate
17,Parfum,Ibuki Refining Moisturizer Enriched,Moderate
18,Parfum,Immortelle Divine Cream,Moderate
19,Parfum,Premier Cru Cream,Moderate
20,Parfum,Bio-Performance Glow Revival Cream,Moderate
21,Parfum,Truth Revealed™ Brightening Broad Spectrum SPF 15 Moisturizer,Moderate
22,Parfum,Renewed Hope in A Jar Overnight Recharging & Refining Moisturizer,Moderate
23,Parfum,Vinosource Intense Moisture Rescue Cream,Moderate
24,Parfum,Wrinkle Warrior™ 2-in-1 Plumping Moisturizer + Serum,Moderate
25,Parfum,Hyaluronic Marine Oil-Free Moisture Cushion,Moderate
26,Parfum,Ibuki Beauty Sleeping Mask,Moderate
27,Parfum,Premier Cru Rich Cream,Moderate
28,Parfum,POWER Recharging Night Pressed Serum,Moderate
29,Parfum,Super Restorative Night Age Spot Correcting Replenishing Cream,Moderate
30,Parfum,Rose Deep Hydration Facial Toner,Moderate
31,Parfum,Sugar Face Polish Exfoliator,Moderate
32,Parfum,Transforming Walnut Scrub,Moderate
33,Parfum,microdermabrasion age defying exfoliator,Moderate
34,Parfum,Greek Yoghurt Foaming Cream Cleanser,Moderate
35,Parfum,Benefiance Extra Creamy Cleansing Foam,Moderate
36,Parfum,Gentle Foaming Cleanser with Cottonseed,Moderate
37,Parfum,Toning Lotion with Camomile,Moderate
38,Parfum,Flawless Skin Face Polish,Moderate
39,Parfum,Rose Deep Hydration Toner Mini,Moderate
40,Parfum,Truth™ On the Glow Cleansing Cloths,Moderate
41,Parfum,One-Step Gentle Exfoliating Cleanser with Orange Extract,Moderate
42,Parfum,Face the Truth™ Gel Cleanser,Moderate
43,Parfum,White Lucent Luminizing Infuser,Moderate
44,Parfum,Radiance Cleansing Foam,Moderate
45,Parfum,Multi-Miracle Glow Cleansing Balm,Moderate
46,Parfum,Future Solution LX Extra Rich Cleansing Foam,Moderate
